15267|-187.000000000|0.000000000|0.000000000
15267|-20.200000000|0.000000000|0.000000000
02KHW170FCL24A|-160.000000000|0.000000000|0.000000000
02CG27902050A|-209.000000000|0.000000000|0.000000000
02CG27901130A|-6.000000000|0.000000000|0.000000000
02ZX15855420A|-70.000000000|0.000000000|0.000000000
CH-M32P1-7|0.000000000|0.000000000|60.100000000
02ZX151144230A|-200.000000000|0.000000000|0.000000000
02CG27902800A|-259.000000000|0.000000000|0.000000000
15267|150.700000000|0.000000000|0.000000000
15267|-238.000000000|0.000000000|0.000000000
02KHW170RCL24A|-40.000000000|0.000000000|0.000000000
03THY23408|31.600000000|0.000000000|0.000000000
03THY23408|-120.000000000|0.000000000|0.000000000
02PG36TA|0.000000000|0.000000000|-24.000000000
02PG36TA|0.000000000|0.000000000|119.042500000
03O1701A|0.000000000|0.000000000|-45.800000000
03O1701A|0.000000000|0.000000000|-200.900000000
02CG2917B|-0.000000000|0.000000000|222.000000000
02TG1515SLA|-163.237885321|0.000000000|0.000000000
02TJKPG11SSLB|0.000000000|0.000000000|152.980000000
6802|0.000000000|0.000000000|111.400000000
6802|0.000000000|0.000000000|181.100000000
OIL_SEAL-36-A_1|0.000000000|99.950000000|0.000000000
OIL_SEAL-36-B_1|0.000000000|79.950000000|0.000000000
15267|-187.000000000|0.000000000|0.000000000
15267|-20.200000000|0.000000000|0.000000000
02KHW170FCL24A|-160.000000000|0.000000000|0.000000000
02CG27902050A|-209.000000000|0.000000000|0.000000000
02CG27901130A|-6.000000000|0.000000000|0.000000000
02ZX15855420A|-70.000000000|0.000000000|0.000000000
CH-M32P1-7|0.000000000|0.000000000|60.100000000
02ZX151144230A|-200.000000000|0.000000000|0.000000000
02CG27902800A|-259.000000000|0.000000000|0.000000000
15267|150.700000000|0.000000000|0.000000000
15267|-238.000000000|0.000000000|0.000000000
02KHW170RCL24A|-40.000000000|0.000000000|0.000000000
03THY23408|31.600000000|0.000000000|0.000000000
03THY23408|-120.000000000|0.000000000|0.000000000
02PG36TA|0.000000000|0.000000000|-24.000000000
02PG36TA|0.000000000|0.000000000|119.042500000
03O1701A|0.000000000|0.000000000|-45.800000000
03O1701A|0.000000000|0.000000000|-200.900000000
02CG2917B|-0.000000000|0.000000000|222.000000000
02TG1515SLA|-163.237885321|0.000000000|0.000000000
02TJKPG11SSLB|0.000000000|0.000000000|152.980000000
6802|0.000000000|0.000000000|111.400000000
6802|0.000000000|0.000000000|181.100000000
OIL_SEAL-36-A_1|0.000000000|99.950000000|0.000000000
OIL_SEAL-36-B_1|0.000000000|79.950000000|0.000000000
